iter,day,H,L,A,P1,P2,D,R,ISeed,ICs_W,IHos_W,INur_W,IOff_W,IRes_W,ISch_W,ISho_W,ICHome_W,IHome_I,ICHome_R,ICs_V,IHos_V,INur_V,IOff_V,IRes_V,ISch_V,ISho_V,IHome_V,IAdu,IPen,IChi,IInf,DAdul,DPen,DChi,DInf,DHome,DHospital,DCareHome,DAdditional,NumHospital,HospitalisedToday,SecInfections,GenerationTime
0,0,910000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
0,1,910000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
0,2,910000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
0,3,909999,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,7.0
0,4,909998,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,10.333333333333334
0,5,909998,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
0,6,909997,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,8.222222222222221
0,7,909997,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
0,8,909994,5,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,8.0
0,9,909989,9,0,2,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21.0,9.619047619047619
0,10,909985,11,2,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,7.375
0,11,909977,17,4,2,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,2,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,31.0,9.35483870967742
0,12,909975,17,6,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,6.4
0,13,909972,16,9,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3.0,6.666666666666667
0,14,909962,24,9,3,0,0,2,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,45.0,11.022222222222222
0,15,909952,31,10,5,0,0,2,3,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,2,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,36.0,11.0
0,16,909940,42,9,6,0,0,3,1,0,0,0,2,0,1,0,0,4,0,0,0,1,0,0,3,0,0,7,0,3,1,0,0,0,0,0,0,0,0,0,0,32.0,11.0
0,17,909920,57,10,8,0,0,5,9,0,1,0,0,0,3,1,0,4,0,0,0,0,0,0,2,0,0,6,0,4,1,0,0,0,0,0,0,0,0,0,0,77.0,11.428571428571429
0,18,909905,69,11,9,0,0,6,2,2,1,0,2,0,0,0,0,2,0,0,0,0,0,1,3,2,0,7,3,3,0,0,0,0,0,0,0,0,0,0,0,35.0,9.114285714285714
0,19,909892,70,14,16,0,0,8,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,1,5,2,1,1,0,0,0,0,0,0,0,0,0,0,16.0,13.25
0,20,909879,72,19,21,0,0,9,3,0,1,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,7,1,2,0,0,0,0,0,0,0,0,0,0,0,32.0,8.84375
